H Param,Silhouette Score Difference,Davies Bouldin Score Difference,
[1 2 0 4],0.029340702,0.05177248,0.081113182
[2 1 2 3],0.029089532,0.051671223,0.080760756
[3 7 4 3],0.029445363,0.05132019,0.080765554
[0 6 0 6],0.030042766,0.050423832,0.080466598
[10  1 10  4],0.029453538,0.050171269,0.079624807
[1 0 1 1],0.029607312,0.050087311,0.079694623
[3 2 3 2],0.02887538,0.049015753,0.077891133
[0 6 2 7],0.03065388,0.048437568,0.079091448
[1 6 2 7],0.029783795,0.048013125,0.07779692
[10  2  3  2],0.030726077,0.047599563,0.07832564
[5 6 5 6],0.029825515,0.047584638,0.077410153
[1 1 1 1],0.028300148,0.047380403,0.075680551
[5 1 4 1],0.029770316,0.047298688,0.077069004
[5 2 6 3],0.03087128,0.046741608,0.077612888
[1 1 0 1],0.030060543,0.046357792,0.076418335
[7 3 5 3],0.029618762,0.045703734,0.075322496
[8 2 4 4],0.029794153,0.04468946,0.074483614
[7 1 9 3],0.026004439,0.042984653,0.068989091
[7 5 3 0],0.029071103,0.042890701,0.071961804
[1 1 8 7],-0.000279934,0.001153458,0.000873524
[2 3 3 1],-0.000279934,0.001153458,0.000873524
[1 1 1 0],-0.000279934,0.001153458,0.000873524
[0 3 2 1],-0.000279934,0.001153458,0.000873524
[0 1 1 1],-0.000279934,0.001153458,0.000873524
[4 1 7 1],-0.000279934,0.001153458,0.000873524
